Function, Run, Filter, Thread, Time
serialFilterFirst, 3, 256, 1, 28.951477
parallelDataFirst, 3, 256, 1, 26.088333
parallelFilterFirst, 3, 256, 1, 29.387859
parallelDataFirst, 3, 256, 2, 13.337589
parallelFilterFirst, 3, 256, 2, 15.055112
parallelDataFirst, 3, 256, 4, 6.783896
parallelFilterFirst, 3, 256, 4, 7.671506
parallelDataFirst, 3, 256, 8, 3.410363
parallelFilterFirst, 3, 256, 8, 3.873107
parallelDataFirst, 3, 256, 16, 2.686249
parallelFilterFirst, 3, 256, 16, 2.813910
parallelDataFirstUnrolledFilter, 3, 256, 8, 2.333475
parallelFilterFirstUnrolledFilter, 3, 256, 8, 3.818231
parallelDataFirstUnrolledData, 3, 256, 8, 3.369640
parallelFilterFirstUnrolledData, 3, 256, 8, 2.389677
serialDataFirst, 4, 1, 1, 0.153404
serialFilterFirst, 4, 1, 1, 0.141670
serialDataFirst, 4, 2, 1, 0.209464
serialFilterFirst, 4, 2, 1, 0.231225
serialDataFirst, 4, 4, 1, 0.392821
serialFilterFirst, 4, 4, 1, 0.457821
serialDataFirst, 4, 8, 1, 0.758642
serialFilterFirst, 4, 8, 1, 0.910552
serialDataFirst, 4, 16, 1, 1.527785
serialFilterFirst, 4, 16, 1, 1.817866
serialDataFirst, 4, 32, 1, 3.093616
serialFilterFirst, 4, 32, 1, 3.632256
serialDataFirst, 4, 64, 1, 6.710376
serialFilterFirst, 4, 64, 1, 7.258112
serialDataFirst, 4, 128, 1, 13.101755
serialFilterFirst, 4, 128, 1, 14.480265
serialDataFirst, 4, 256, 1, 25.738880
serialFilterFirst, 4, 256, 1, 28.959261
parallelDataFirst, 4, 256, 1, 25.939511
parallelFilterFirst, 4, 256, 1, 29.421181
parallelDataFirst, 4, 256, 2, 13.399881
parallelFilterFirst, 4, 256, 2, 15.026937
parallelDataFirst, 4, 256, 4, 6.763360
parallelFilterFirst, 4, 256, 4, 7.666871
parallelDataFirst, 4, 256, 8, 3.412359
parallelFilterFirst, 4, 256, 8, 3.844595
parallelDataFirst, 4, 256, 16, 2.690485
parallelFilterFirst, 4, 256, 16, 2.817147
parallelDataFirstUnrolledFilter, 4, 256, 8, 2.395531
parallelFilterFirstUnrolledFilter, 4, 256, 8, 3.812173
parallelDataFirstUnrolledData, 4, 256, 8, 3.358807
parallelFilterFirstUnrolledData, 4, 256, 8, 2.179604
serialDataFirst, 5, 1, 1, 0.147530
serialFilterFirst, 5, 1, 1, 0.141908
serialDataFirst, 5, 2, 1, 0.221968
serialFilterFirst, 5, 2, 1, 0.234879
serialDataFirst, 5, 4, 1, 0.385115
serialFilterFirst, 5, 4, 1, 0.466264
serialDataFirst, 5, 8, 1, 0.759190
serialFilterFirst, 5, 8, 1, 0.917012
serialDataFirst, 5, 16, 1, 1.529105
serialFilterFirst, 5, 16, 1, 1.825735
serialDataFirst, 5, 32, 1, 3.105472
serialFilterFirst, 5, 32, 1, 3.644481
serialDataFirst, 5, 64, 1, 6.715742
serialFilterFirst, 5, 64, 1, 7.264790
serialDataFirst, 5, 128, 1, 13.006811
serialFilterFirst, 5, 128, 1, 14.508766
serialDataFirst, 5, 256, 1, 25.733835
serialFilterFirst, 5, 256, 1, 28.975458
parallelDataFirst, 5, 256, 1, 25.953537
parallelFilterFirst, 5, 256, 1, 29.453161
parallelDataFirst, 5, 256, 2, 13.278709
parallelFilterFirst, 5, 256, 2, 15.142256
parallelDataFirst, 5, 256, 4, 6.763474
parallelFilterFirst, 5, 256, 4, 7.688030
parallelDataFirst, 5, 256, 8, 3.412566
parallelFilterFirst, 5, 256, 8, 3.875758
parallelDataFirst, 5, 256, 16, 2.700978
parallelFilterFirst, 5, 256, 16, 2.810289
parallelDataFirstUnrolledFilter, 5, 256, 8, 2.381936
parallelFilterFirstUnrolledFilter, 5, 256, 8, 3.893473
parallelDataFirstUnrolledData, 5, 256, 8, 3.400081
parallelFilterFirstUnrolledData, 5, 256, 8, 2.229339
serialDataFirst, 6, 1, 1, 0.145346
serialFilterFirst, 6, 1, 1, 0.139838
serialDataFirst, 6, 2, 1, 0.209977
serialFilterFirst, 6, 2, 1, 0.232098
serialDataFirst, 6, 4, 1, 0.391577
serialFilterFirst, 6, 4, 1, 0.460431
serialDataFirst, 6, 8, 1, 0.752494
serialFilterFirst, 6, 8, 1, 0.908709
serialDataFirst, 6, 16, 1, 1.525802
serialFilterFirst, 6, 16, 1, 1.820195
serialDataFirst, 6, 32, 1, 3.097979
serialFilterFirst, 6, 32, 1, 3.630487
serialDataFirst, 6, 64, 1, 6.708069
serialFilterFirst, 6, 64, 1, 7.263981
serialDataFirst, 6, 128, 1, 13.108976
serialFilterFirst, 6, 128, 1, 14.511431
serialDataFirst, 6, 256, 1, 25.737000
serialFilterFirst, 6, 256, 1, 29.025556
parallelDataFirst, 6, 256, 1, 25.946279
parallelFilterFirst, 6, 256, 1, 29.431942
parallelDataFirst, 6, 256, 2, 13.320816
parallelFilterFirst, 6, 256, 2, 15.121918
parallelDataFirst, 6, 256, 4, 6.759081
parallelFilterFirst, 6, 256, 4, 7.673718
parallelDataFirst, 6, 256, 8, 3.435218
parallelFilterFirst, 6, 256, 8, 3.845899
parallelDataFirst, 6, 256, 16, 2.681694
parallelFilterFirst, 6, 256, 16, 2.821913
parallelDataFirstUnrolledFilter, 6, 256, 8, 2.344194
parallelFilterFirstUnrolledFilter, 6, 256, 8, 3.858201
parallelDataFirstUnrolledData, 6, 256, 8, 3.377511
parallelFilterFirstUnrolledData, 6, 256, 8, 2.919778
serialDataFirst, 7, 1, 1, 0.153845
serialFilterFirst, 7, 1, 1, 0.137942
serialDataFirst, 7, 2, 1, 0.218970
serialFilterFirst, 7, 2, 1, 0.235224
serialDataFirst, 7, 4, 1, 0.385696
serialFilterFirst, 7, 4, 1, 0.460761
serialDataFirst, 7, 8, 1, 0.750654
serialFilterFirst, 7, 8, 1, 0.912745
serialDataFirst, 7, 16, 1, 1.521779
serialFilterFirst, 7, 16, 1, 1.820206
serialDataFirst, 7, 32, 1, 3.100613
serialFilterFirst, 7, 32, 1, 3.625900
serialDataFirst, 7, 64, 1, 6.718448
serialFilterFirst, 7, 64, 1, 7.249145
serialDataFirst, 7, 128, 1, 13.028523
serialFilterFirst, 7, 128, 1, 14.498884
serialDataFirst, 7, 256, 1, 25.775442
serialFilterFirst, 7, 256, 1, 29.001646
parallelDataFirst, 7, 256, 1, 25.941228
parallelFilterFirst, 7, 256, 1, 29.529447
parallelDataFirst, 7, 256, 2, 13.318306
parallelFilterFirst, 7, 256, 2, 15.211289
parallelDataFirst, 7, 256, 4, 6.774779
parallelFilterFirst, 7, 256, 4, 7.661342
parallelDataFirst, 7, 256, 8, 3.405497
parallelFilterFirst, 7, 256, 8, 3.845050
parallelDataFirst, 7, 256, 16, 2.708889
parallelFilterFirst, 7, 256, 16, 2.811320
parallelDataFirstUnrolledFilter, 7, 256, 8, 2.338835
parallelFilterFirstUnrolledFilter, 7, 256, 8, 3.818098
parallelDataFirstUnrolledData, 7, 256, 8, 3.364942
parallelFilterFirstUnrolledData, 7, 256, 8, 2.228924
serialDataFirst, 8, 1, 1, 0.146761
serialFilterFirst, 8, 1, 1, 0.142464
serialDataFirst, 8, 2, 1, 0.214163
serialFilterFirst, 8, 2, 1, 0.234651
serialDataFirst, 8, 4, 1, 0.384147
serialFilterFirst, 8, 4, 1, 0.461909
serialDataFirst, 8, 8, 1, 0.754621
serialFilterFirst, 8, 8, 1, 0.914446
serialDataFirst, 8, 16, 1, 1.524071
serialFilterFirst, 8, 16, 1, 1.830731
serialDataFirst, 8, 32, 1, 3.097457
serialFilterFirst, 8, 32, 1, 3.641466
serialDataFirst, 8, 64, 1, 6.721273
